ContractID,CustomerID,RenewalFromContractID,Reference,ContractDate,TermStartDate,TermEndDate,TotalValue
1,1,,8BM6HP4,2024-02-26,2024-05-01,2025-04-30,340000
2,1,,7TNQNODFWI,2024-09-21,2024-11-01,2025-04-30,80000
3,1,,6JCD2,2024-08-01,2024-08-01,2025-07-31,160000
4,2,,S2YH1M,2024-07-04,2024-09-01,2025-08-31,450000
5,2,,6Y08GQ,2024-02-01,2024-02-01,2025-01-31,500000
6,2,,4Y81N,2024-05-30,2024-07-01,2024-09-30,380000
7,3,,097J7KET7N,2024-02-01,2024-05-01,2025-04-30,360000
8,3,,7Y7L3SPOQJ,2023-12-20,2024-03-01,2024-08-31,380000
9,4,,AXJ72N0GR,2024-03-01,2024-03-01,2025-02-28,260000
10,4,,BMOWPT9,2024-10-09,2025-01-01,2025-12-31,140000
11,5,,4CXBXKZ,2024-02-01,2024-02-01,2025-01-31,270000
12,5,,WU1KR,2024-09-24,2024-11-01,2025-10-31,130000
13,6,,2M859RQCD7,2024-07-01,2024-07-01,2025-06-30,320000
14,6,,91BLBFE,2024-10-01,2024-10-01,2025-09-30,380000
15,7,,HQEBLJB,2024-09-03,2025-01-01,2025-12-31,270000
16,7,,O0U5V,2024-02-07,2024-05-01,2025-04-30,130000
17,8,,13HWY5Q8J,2024-02-09,2024-05-01,2025-04-30,480000
18,8,,5PZ8UFRULI,2024-06-01,2024-06-01,2025-05-31,330000
19,8,,NG5YXTU,2024-09-01,2024-09-01,2025-08-31,330000
20,9,,9UK0YG,2024-08-25,2024-10-01,2025-03-31,400000
21,9,,I536QX4S,2023-11-17,2024-01-01,2024-12-31,90000
22,10,,WD79GV,2024-12-01,2024-12-01,2025-11-30,50000
23,10,,PJA2FHC,2024-10-21,2024-12-01,2025-11-30,240000
24,11,,4U8X2RI,2024-04-01,2024-04-01,2025-03-31,280000
25,11,,VE2POZ62M,2024-11-15,2025-01-01,2025-12-31,180000
26,11,,RYCNWNR3,2023-11-05,2024-03-01,2025-02-28,500000
27,12,,SRD2INF2M,2024-09-30,2024-11-01,2025-10-31,170000
28,12,,G9M8BQIY,2024-03-01,2024-03-01,2025-02-28,320000
29,13,,3G0PUDW8WW,2024-09-01,2024-09-01,2025-08-31,360000
30,13,,1ADLVPDUK9,2024-05-01,2024-05-01,2025-04-30,30000
31,13,,ZI2R6KUBL,2024-04-22,2024-07-01,2024-09-30,360000
32,14,,C5CIYN5,2024-10-11,2025-01-01,2025-12-31,460000
33,14,,D4PFT,2024-08-13,2024-09-01,2024-11-30,130000
34,14,,Y6JLVQE,2024-08-18,2024-12-01,2025-05-31,500000
35,15,,M9MKAE4BN,2024-02-28,2024-04-01,2025-03-31,30000
36,15,,ZUVPR,2024-01-01,2024-01-01,2024-03-31,130000
37,16,,X09H5U3P,2024-05-04,2024-09-01,2025-08-31,490000
38,16,,7TNF02BXQF,2024-02-04,2024-06-01,2025-05-31,20000
39,16,,O6BUI,2023-09-25,2024-01-01,2024-06-30,480000
40,17,,MMFX0A,2024-03-01,2024-03-01,2025-02-28,240000
41,17,,8KRLS7XY,2023-10-07,2024-01-01,2024-12-31,490000
42,18,,9H9PY,2024-05-12,2024-07-01,2025-06-30,90000
43,18,,SNPXT,2024-02-19,2024-04-01,2025-03-31,240000
44,18,,NXART7ACO,2024-06-14,2024-09-01,2025-08-31,490000
45,19,,5Z4MSYGI,2024-06-01,2024-06-01,2024-08-31,10000
46,19,,C4GV8YK,2024-07-01,2024-07-01,2024-09-30,330000
47,19,,EX8W6OK,2024-04-01,2024-04-01,2025-03-31,130000
48,20,,OG5POC7,2024-04-01,2024-04-01,2025-03-31,460000
49,20,,9D7S1MI5,2024-07-01,2024-07-01,2025-06-30,370000
50,20,,DQT291H6QF,2024-08-06,2024-11-01,2025-04-30,150000
