ContractID,CustomerID,RenewalFromContractID,Reference,ContractDate,TermStartDate,TermEndDate,TotalValue
1,1,,146223,2024-06-01,2024-06-01,2024-08-31,150000
2,1,,445341,2025-01-01,2025-01-01,2025-06-30,410000
3,2,,690970,2024-07-01,2024-07-01,2025-06-30,120000
4,2,,940579,2024-02-23,2024-06-01,2025-05-31,440000
5,3,,484139,2024-12-10,2025-01-01,2025-03-31,500000
6,3,,945349,2024-10-17,2024-12-01,2025-02-28,260000
7,4,,981175,2024-04-13,2024-06-01,2025-05-31,70000
8,4,,423891,2024-04-27,2024-06-01,2025-05-31,490000
9,4,,874593,2024-10-05,2024-12-01,2025-11-30,300000
10,5,,619605,2024-11-01,2024-11-01,2025-10-31,230000
11,5,,30926,2023-12-25,2024-04-01,2025-03-31,230000
12,5,11,951483,2025-04-07,2025-04-07,2026-04-06,260000
13,6,,768980,2024-04-01,2024-04-01,2024-06-30,40000
14,6,13,405685,2024-07-14,2024-07-14,2025-07-13,310000
15,7,,136067,2024-04-01,2024-04-01,2024-09-30,270000
16,7,,808399,2024-05-16,2024-09-01,2025-08-31,30000
17,8,,609894,2024-12-01,2024-12-01,2025-11-30,100000
18,8,,247006,2025-01-01,2025-01-01,2025-03-31,150000
19,9,,837953,2023-10-30,2024-01-01,2024-12-31,360000
20,9,19,531783,2025-01-13,2025-01-13,2026-01-12,170000
21,9,,621717,2024-08-27,2024-11-01,2025-04-30,30000
22,10,,451237,2024-02-01,2024-02-01,2024-04-30,80000
23,10,,782561,2024-02-10,2024-05-01,2025-04-30,460000
24,11,,220791,2024-05-09,2024-07-01,2025-06-30,50000
25,11,,161259,2024-05-02,2024-08-01,2025-07-31,430000
26,12,,994211,2024-08-01,2024-08-01,2025-07-31,140000
27,12,26,600422,2025-08-01,2025-08-01,2026-07-31,490000
28,13,,637043,2024-04-01,2024-07-01,2024-12-31,70000
29,13,28,814257,2025-01-02,2025-01-02,2025-07-01,150000
30,14,,308816,2024-01-01,2024-01-01,2024-12-31,410000
31,14,,314004,2024-03-08,2024-05-01,2025-04-30,290000
32,15,,786800,2024-05-07,2024-08-01,2025-07-31,190000
33,15,,382724,2023-12-11,2024-03-01,2024-05-31,190000
34,15,33,124540,2024-06-01,2024-06-01,2025-05-31,430000
35,16,,856359,2024-10-05,2024-12-01,2025-11-30,480000
36,16,35,41520,2025-12-14,2025-12-14,2026-12-13,200000
37,17,,788539,2024-11-13,2024-12-01,2025-02-28,280000
38,17,,887135,2024-12-15,2025-01-01,2025-12-31,60000
39,17,38,67782,2026-01-15,2026-01-15,2027-01-14,100000
40,18,,291990,2024-01-01,2024-01-01,2024-12-31,260000
41,18,40,935429,2025-01-12,2025-01-12,2026-01-11,130000
42,18,41,86333,2026-01-14,2026-01-14,2027-01-13,190000
43,19,,349382,2024-10-01,2024-10-01,2025-09-30,90000
44,19,,429144,2025-01-01,2025-01-01,2025-12-31,160000
45,20,,304655,2024-01-07,2024-03-01,2025-02-28,120000
46,20,,716897,2024-01-01,2024-01-01,2024-12-31,420000
