SegmentID,ContractID,SegmentStartDate,SegmentEndDate,ARROverrideStartDate,ARROverrideNote,Title,Type,SegmentValue
1,1,2024-06-01,2024-08-31,,,Platform,Subscription,150000
2,2,2025-01-01,2025-06-30,,,Platform,Subscription,410000
3,3,2024-07-01,2025-06-30,,,Platform,Subscription,120000
4,4,2024-06-01,2025-05-31,,,Platform,Subscription,440000
5,5,2025-01-01,2025-03-31,,,Platform,Subscription,500000
6,6,2024-12-01,2025-02-28,,,Platform,Subscription,260000
7,7,2024-06-01,2025-05-31,,,Platform,Subscription,70000
8,8,2024-06-01,2025-05-31,,,Platform,Subscription,490000
9,9,2024-12-01,2025-11-30,,,Platform,Subscription,300000
10,10,2024-11-01,2025-10-31,,,Platform,Subscription,230000
11,11,2024-04-01,2025-03-31,,,Platform,Subscription,230000
12,12,2025-04-07,2026-04-06,,,Platform,Subscription,260000
13,13,2024-04-01,2024-06-30,,,Platform,Subscription,40000
14,14,2024-07-14,2025-07-13,,,Platform,Subscription,310000
15,15,2024-04-01,2024-09-30,,,Platform,Subscription,270000
16,16,2024-09-01,2025-08-31,,,Platform,Subscription,30000
17,17,2024-12-01,2025-11-30,,,Platform,Subscription,100000
18,18,2025-01-01,2025-03-31,,,Platform,Subscription,150000
19,19,2024-01-01,2024-12-31,,,Platform,Subscription,360000
20,20,2025-01-13,2026-01-12,,,Platform,Subscription,170000
21,21,2024-11-01,2025-04-30,,,Platform,Subscription,30000
22,22,2024-02-01,2024-04-30,,,Platform,Subscription,80000
23,23,2024-05-01,2025-04-30,,,Platform,Subscription,460000
24,24,2024-07-01,2025-06-30,,,Platform,Subscription,50000
25,25,2024-08-01,2025-07-31,,,Platform,Subscription,430000
26,26,2024-08-01,2025-07-31,,,Platform,Subscription,140000
27,27,2025-08-01,2026-07-31,,,Platform,Subscription,490000
28,28,2024-07-01,2024-12-31,,,Platform,Subscription,70000
29,29,2025-01-02,2025-07-01,,,Platform,Subscription,150000
30,30,2024-01-01,2024-12-31,,,Platform,Subscription,410000
31,31,2024-05-01,2025-04-30,,,Platform,Subscription,290000
32,32,2024-08-01,2025-07-31,,,Platform,Subscription,190000
33,33,2024-03-01,2024-05-31,,,Platform,Subscription,190000
34,34,2024-06-01,2025-05-31,,,Platform,Subscription,430000
35,35,2024-12-01,2025-11-30,,,Platform,Subscription,480000
36,36,2025-12-14,2026-12-13,,,Platform,Subscription,200000
37,37,2024-12-01,2025-02-28,,,Platform,Subscription,280000
38,38,2025-01-01,2025-12-31,,,Platform,Subscription,60000
39,39,2026-01-15,2027-01-14,,,Platform,Subscription,100000
40,40,2024-01-01,2024-12-31,,,Platform,Subscription,260000
41,41,2025-01-12,2026-01-11,,,Platform,Subscription,130000
42,42,2026-01-14,2027-01-13,,,Platform,Subscription,190000
43,43,2024-10-01,2025-09-30,,,Platform,Subscription,90000
44,44,2025-01-01,2025-12-31,,,Platform,Subscription,160000
45,45,2024-03-01,2025-02-28,,,Platform,Subscription,120000
46,46,2024-01-01,2024-12-31,,,Platform,Subscription,420000
